时间,确证数,死亡数
2020/3/30,145,1
2020/3/31,162,1
2020/4/1,191,1
2020/4/2,216,1
2020/4/3,237,2
2020/4/4,282,2
2020/4/5,324,3
2020/4/6,345,4
2020/4/7,412,4
2020/4/8,462,4
2020/4/9,514,4
2020/4/10,574,4
2020/4/11,577,4
2020/4/12,593,4
2020/4/13,611,6
2020/4/14,640,6
2020/4/15,702,6
2020/4/16,728,6
2020/4/17,775,7
2020/4/18,785,7
2020/4/19,890,7
2020/4/20,902,7
2020/4/21,908,7
2020/4/22,939,7
2020/4/23,981,31
2020/4/24,1010,32
2020/4/25,1010,32
2020/4/26,1055,34
