Province_State,新增死亡数,新增确证数
Alabama,4.0,187.0
Alaska,0.0,5.0
Arizona,1.0,191.0
Arkansas,0.0,28.0
California,32.0,942.0
Colorado,10.0,208.0
Connecticut,18.0,1189.0
Delaware,3.0,110.0
District of Columbia,2.0,95.0
Florida,14.0,971.0
Georgia,18.0,625.0
Hawaii,1.0,14.0
Idaho,0.0,23.0
Illinois,32.0,993.0
Indiana,4.0,525.0
Iowa,7.0,77.0
Kansas,2.0,98.0
Kentucky,0.0,0.0
Louisiana,36.0,1840.0
Maine,0.0,29.0
Maryland,24.0,428.0
Massachusetts,27.0,1306.0
Michigan,110.0,1473.0
Minnesota,4.0,52.0
Mississippi,8.0,100.0
Missouri,4.0,351.0
Montana,0.0,13.0
Nebraska,2.0,53.0
Nevada,0.0,90.0
New Hampshire,0.0,97.0
New Jersey,85.0,3885.0
New Mexico,0.0,62.0
New York,1053.0,8655.0
North Carolina,7.0,313.0
North Dakota,0.0,18.0
Ohio,23.0,410.0
Oklahoma,5.0,75.0
Oregon,0.0,0.0
Pennsylvania,28.0,1538.0
Rhode Island,0.0,66.0
South Carolina,4.0,183.0
South Dakota,2.0,48.0
Tennessee,12.0,161.0
Texas,14.0,834.0
Utah,5.0,79.0
Vermont,0.0,23.0
Virginia,0.0,241.0
Washington,45.0,371.0
West Virginia,1.0,21.0
Wisconsin,4.0,129.0
Wyoming,0.0,13.0
