Province_State,新增死亡数,新增确证数
Alabama,10.0,244.0
Alaska,0.0,11.0
Arizona,0.0,94.0
Arkansas,0.0,44.0
California,41.0,1371.0
Colorado,0.0,550.0
Connecticut,66.0,739.0
Delaware,0.0,108.0
District of Columbia,6.0,137.0
Florida,36.0,1167.0
Georgia,40.0,693.0
Hawaii,0.0,0.0
Idaho,6.0,122.0
Illinois,69.0,1452.0
Indiana,55.0,556.0
Iowa,2.0,118.0
Kansas,0.0,1.0
Kentucky,1.0,43.0
Louisiana,53.0,967.0
Maine,1.0,27.0
Maryland,33.0,783.0
Massachusetts,0.0,2104.0
Michigan,203.0,1208.0
Minnesota,7.0,97.0
Mississippi,6.0,209.0
Missouri,6.0,414.0
Montana,0.0,11.0
Nebraska,1.0,67.0
Nevada,6.0,177.0
New Hampshire,0.0,0.0
New Jersey,225.0,3908.0
New Mexico,1.0,216.0
New York,900.0,10569.0
North Carolina,7.0,229.0
North Dakota,1.0,9.0
Ohio,0.0,366.0
Oklahoma,8.0,110.0
Oregon,0.0,1.0
Pennsylvania,73.0,1751.0
Rhode Island,0.0,143.0
South Carolina,5.0,274.0
South Dakota,0.0,89.0
Tennessee,4.0,273.0
Texas,28.0,897.0
Utah,0.0,247.0
Vermont,0.0,0.0
Virginia,7.0,467.0
Washington,27.0,410.0
West Virginia,0.0,60.0
Wisconsin,17.0,182.0
Wyoming,0.0,9.0
