Province_State,新增死亡数,新增确证数
Alabama,0.0,173.0
Alaska,0.0,11.0
Arizona,18.0,183.0
Arkansas,0.0,60.0
California,40.0,1374.0
Colorado,7.0,361.0
Connecticut,28.0,278.0
Delaware,1.0,25.0
District of Columbia,3.0,67.0
Florida,59.0,2046.0
Georgia,25.0,448.0
Hawaii,1.0,29.0
Idaho,0.0,201.0
Illinois,22.0,706.0
Indiana,13.0,474.0
Iowa,2.0,67.0
Kansas,2.0,68.0
Kentucky,2.0,43.0
Louisiana,36.0,2715.0
Maine,2.0,71.0
Maryland,17.0,345.0
Massachusetts,32.0,1208.0
Michigan,82.0,1434.0
Minnesota,1.0,53.0
Mississippi,4.0,104.0
Missouri,4.0,233.0
Montana,0.0,33.0
Nebraska,0.0,37.0
Nevada,7.0,184.0
New Hampshire,-2.0,112.0
New Jersey,178.0,2981.0
New Mexico,1.0,45.0
New York,703.0,8558.0
North Carolina,7.0,302.0
North Dakota,0.0,17.0
Ohio,16.0,354.0
Oklahoma,5.0,160.0
Oregon,2.0,90.0
Pennsylvania,16.0,1259.0
Rhode Island,0.0,159.0
South Carolina,5.0,261.0
South Dakota,0.0,36.0
Tennessee,22.0,516.0
Texas,11.0,714.0
Utah,2.0,198.0
Vermont,0.0,26.0
Virginia,0.0,223.0
Washington,37.0,740.0
West Virginia,0.0,25.0
Wisconsin,6.0,192.0
Wyoming,0.0,20.0
