Province_State,新增死亡数,新增确证数
Alabama,12.0,73.0
Alaska,0.0,13.0
Arizona,2.0,124.0
Arkansas,1.0,51.0
California,25.0,1189.0
Colorado,0.0,16.0
Connecticut,16.0,321.0
Delaware,4.0,49.0
District of Columbia,0.0,91.0
Florida,0.0,214.0
Georgia,27.0,358.0
Hawaii,0.0,18.0
Idaho,1.0,51.0
Illinois,42.0,976.0
Indiana,16.0,406.0
Iowa,2.0,52.0
Kansas,1.0,51.0
Kentucky,6.0,0.0
Louisiana,38.0,1181.0
Maine,0.0,0.0
Maryland,1.0,326.0
Massachusetts,33.0,1197.0
Michigan,75.0,1629.0
Minnesota,0.0,60.0
Mississippi,2.0,136.0
Missouri,3.0,247.0
Montana,1.0,10.0
Nebraska,1.0,38.0
Nevada,5.0,119.0
New Hampshire,0.0,10.0
New Jersey,335.0,2733.0
New Mexico,1.0,12.0
New York,613.0,8115.0
North Carolina,2.0,140.0
North Dakota,0.0,20.0
Ohio,10.0,348.0
Oklahoma,6.0,153.0
Oregon,1.0,46.0
Pennsylvania,11.0,1046.0
Rhode Island,0.0,102.0
South Carolina,4.0,210.0
South Dakota,1.0,21.0
Tennessee,1.0,354.0
Texas,12.0,546.0
Utah,0.0,0.0
Vermont,0.0,25.0
Virginia,0.0,234.0
Washington,9.0,147.0
West Virginia,0.0,29.0
Wisconsin,2.0,144.0
Wyoming,0.0,21.0
