Province_State,新增死亡数,新增确证数
Alabama,4.0,375.0
Alaska,0.0,10.0
Arizona,3.0,292.0
Arkansas,15.0,150.0
California,49.0,976.0
Colorado,0.0,0.0
Connecticut,104.0,1903.0
Delaware,0.0,93.0
District of Columbia,5.0,83.0
Florida,45.0,909.0
Georgia,15.0,502.0
Hawaii,0.0,36.0
Idaho,3.0,22.0
Illinois,66.0,1349.0
Indiana,42.0,408.0
Iowa,0.0,125.0
Kansas,0.0,70.0
Kentucky,8.0,268.0
Louisiana,50.0,1251.0
Maine,2.0,27.0
Maryland,14.0,656.0
Massachusetts,0.0,2170.0
Michigan,115.0,1149.0
Minnesota,11.0,88.0
Mississippi,9.0,257.0
Missouri,9.0,209.0
Montana,0.0,22.0
Nebraska,1.0,49.0
Nevada,8.0,140.0
New Hampshire,0.0,41.0
New Jersey,205.0,3985.0
New Mexico,3.0,44.0
New York,1023.0,10718.0
North Carolina,10.0,237.0
North Dakota,1.0,18.0
Ohio,20.0,364.0
Oklahoma,1.0,160.0
Oregon,10.0,140.0
Pennsylvania,27.0,1669.0
Rhode Island,0.0,0.0
South Carolina,16.0,376.0
South Dakota,0.0,54.0
Tennessee,13.0,271.0
Texas,21.0,1431.0
Utah,0.0,8.0
Vermont,18.0,48.0
Virginia,7.0,397.0
Washington,30.0,440.0
West Virginia,0.0,52.0
Wisconsin,11.0,176.0
Wyoming,0.0,9.0
